,constit,voteshare,treatment,changeNL_1996_2000,mean_1995
104,mpraeso,43.7084592,0,0.5694447,4.313889
105,nabdam,80.1094546,1,0.9870692,3.8620689
106,nanton,69.6114179,1,-0.1914892,3.1992264
107,navrongo central,51.8697933,1,0.2760911,3.4601519
108,new edubiase,76.6756272,1,0.1756587,3.0526977
109,new juaben north,39.1884119,0,0.1063828,8.0212765
110,ningo-papram,90.9022382,1,0.144516,3.8374193
111,nkawkaw,38.5352567,0,0.1099477,4.2434554
112,north dayi,93.7403455,1,1.2391715,4.6271186
113,north tongu,69.2385803,1,0.5452054,3.2849314
114,nsufa-kwamang,45.3418334,0,1.1901479,3.5477831
115,obuasi,36.7498762,0,-1.100543,10.451087
116,odotobri,29.9261919,0,0.0335891,3.34357
117,offinso north,49.5196254,0,0.8933789,3.5640585
118,offinso south,35.154737,0,0.1231525,3.4761906
119,okere,60.6251229,1,0.3689837,4.6363635
120,presta-hunivalley,51.2325011,1,0.8432293,4.375
121,saboba,79.9849369,1,1.0624457,3.8972247
122,salaga,54.907844,1,0.4129145,3.17472
123,savelgu,72.8303172,1,0.7602663,3.564373
124,sefwi-wiawso,77.6005536,1,-0.0269112,3.298471
125,sekondi,34.2299963,0,2.4980392,19.7686272
126,sene,79.7780769,1,0.8151715,3.2270448
127,shai-osudoku,86.4647172,1,0.2996182,3.5791984
128,shama,65.7390229,1,1.1467886,4.7247705
129,south dayi,84.3823299,1,0.9477351,3.979094
130,south tongu,84.0122315,1,0.5636072,3.4219003
131,suhum,58.4823726,1,0.254065,3.4878049
132,sunyani east,41.7928736,0,0.5140562,5.4236946
133,sunyani west,49.0108014,0,0.3386709,3.6901522
134,talensi,74.6712407,1,0.7454176,3.8085539
135,tano north,49.2048723,0,0.3198092,3.1921241
136,tano south,58.3238958,1,0.4911394,3.5645571
137,tarkwa nsuaem,37.7850491,0,0.5910778,3.6753407
138,techiman north,68.4413491,1,1.0551627,3.8797736
139,techiman south,60.8695652,1,0.7009604,4.0672154
140,tema east,47.2322218,0,1.4102554,48.0128212
141,tema west,40.7840766,0,11.9833336,37.3499985
142,tolon,58.1637142,1,0.4380951,3.1892858
143,twifu-etsi-morkwaa,59.7588965,1,0.29973,3.0891089
144,upper manya,76.124054,1,1.0564373,3.3862433
145,upper west akim,61.073285,1,0.390244,3.5934958
146,wa central,68.8107023,1,0.0534849,3.8703403
147,wa east,77.4042001,1,0.2429726,3.4576435
148,wulensi,41.1702128,0,1.4246657,3.1773999
149,yapei/kusawgu,72.1746117,1,0.1608155,3.3447552
150,yendi,34.0863309,0,0.7667913,3.8936567
151,yilo krobo,77.7785396,1,0.6569252,4.094028
152,zabzugu/tatale,74.2980051,1,0.9414256,3.2289016
